Question Number,Question,Correct Answer,Incorrect Answers,Description
1,What is the largest muscle in the human body?,Gluteus Maximus,"Biceps, Quadriceps, Pectorals",The gluteus maximus is the largest muscle in the human body, responsible for movement of the hip and thigh.
2,What type of muscle is the heart?,Cardiac muscle,"Smooth muscle, Skeletal muscle, Voluntary muscle",The heart is made of cardiac muscle, which is specialized for continuous rhythmic contractions.
3,Which muscle is primarily worked by doing push-ups?,Pectorals,"Quadriceps, Triceps, Glutes",Push-ups primarily target the pectoral muscles, which are located in the chest.
4,What muscle group is located on the back of the thigh?,Hamstrings,"Calves, Biceps, Lats",The hamstrings are a group of muscles located at the back of the thigh, responsible for bending the knee.
5,The “lat” muscle refers to which body part?,Latissimus Dorsi,"Lateral Deltoid, Abdominals, Trapezius",The latissimus dorsi is a large muscle on the back that helps with shoulder and arm movements.
6,Which muscle is responsible for flexing the elbow?,Biceps,"Triceps, Deltoids, Pectorals",The biceps muscle is responsible for flexing the elbow, allowing the arm to bend.
7,Where is the trapezius muscle located?,Neck and upper back,"Lower back, Thighs, Chest",The trapezius muscle is located in the neck and upper back, helping with shoulder and neck movements.
8,What are the two main muscles in the calf?,Gastrocnemius and Soleus,"Gluteus and Soleus, Biceps and Triceps, Quadriceps and Hamstrings",The gastrocnemius and soleus are the two main muscles in the calf, aiding in walking and running.
9,Which muscle runs along the side of your torso and helps with twisting?,Obliques,"Rectus Abdominis, Quadriceps, Triceps",The obliques are muscles on the side of the torso that assist with twisting and bending movements.
10,How many muscles make up the quadriceps?,4,"2, 3, 5",The quadriceps are a group of four muscles located at the front of the thigh, responsible for extending the knee.
11,What type of exercise is a deadlift?,Compound,"Isolation, Aerobic, Cardiovascular",A deadlift is a compound exercise that works multiple muscle groups simultaneously.
12,Which exercise primarily targets the pectoral muscles?,Bench Press,"Squat, Deadlift, Leg Press",The bench press primarily targets the pectoral muscles in the chest.
13,What is the purpose of a warm-up?,To improve flexibility and prepare muscles,"To fatigue muscles, To increase muscle size, To burn calories",A warm-up improves flexibility and prepares muscles for exercise, reducing the risk of injury.
14,Which exercise is best for strengthening the glutes?,Squats,"Bench Press, Tricep Dips, Bicep Curl",Squats are highly effective for strengthening the gluteal muscles.
15,What type of exercise is a plank?,Isometric,"Aerobic, Dynamic, Plyometric",A plank is an isometric exercise that involves holding a position to strengthen the core.
16,What type of exercise is a bicep curl?,Isolation,"Compound, Aerobic, Plyometric",A bicep curl is an isolation exercise that specifically targets the biceps.
